,document_text,
The Mule,"A Mule had had a long rest and much good feeding. He was feeling very vigorous indeed, and pranced around loftily, holding his head high.""My father certainly was a full-blooded racer,"" he said. ""I can feel that distinctly.""Next day he was put into harness again and that evening he was very downhearted indeed.""I was mistaken,"" he said. ""My father was an Ass after all.""Be sure of your pedigree before you boast of it.",Be sure of your pedigree before you boast of it.
"The Cat, the Cock, and the Young Mouse","A very young Mouse, who had never seen anything of the world, almost came to grief the very first time he ventured out. And this is the story he told his mother about his adventures.""I was strolling along very peaceably when, just as I turned the corner into the next yard, I saw two strange creatures. One of them had a very kind and gracious look, but the other was the most fearful monster you can imagine. You should have seen him.""On top of his head and in front of his neck hung pieces of raw red meat. He walked about restlessly, tearing up the ground with his toes, and beating his arms savagely against his sides. The moment he caught sight of me he opened his pointed mouth as if to swallow me, and then he let out a piercing roar that frightened me almost to death.""Can you guess who it was that our young Mouse was trying to describe to his mother? It was nobody but the Barnyard Cock and the first one the little Mouse had ever seen.""If it had not been for that terrible monster,"" the Mouse went on, ""I should have made the acquaintance of the pretty creature, who looked so good and gentle. He had thick, velvety fur, a meek face, and a look that was very modest, though his eyes were bright and shining. As he looked at me he waved his fine long tail and smiled.""I am sure he was just about to speak to me when the monster I have told you about let out a screaming yell, and I ran for my life.""""My son,"" said the Mother Mouse, ""that gentle creature you saw was none other than the Cat. Under his kindly appearance, he bears a grudge against every one of us. The other was nothing but a bird who wouldn't harm you in the least. As for the Cat, he eats us. So be thankful, my child, that you escaped with your life, and, as long as you live, never judge people by their looks.""Do not trust alone to outward appearances.",Do not trust alone to outward appearances.
The Farmer & His Sons,"A rich old farmer, who felt that he had not many more days to live, called his sons to his bedside.""My sons,"" he said, ""heed what I have to say to you. Do not on any account part with the estate that has belonged to our family for so many generations. Somewhere on it is hidden a rich treasure. I do not know the exact spot, but it is there, and you will surely find it. Spare no energy and leave no spot unturned in your search.""The father died, and no sooner was he in his grave than the sons set to work digging with all their might, turning up every foot of ground with their spades, and going over the whole farm two or three times.No hidden gold did they find; but at harvest time when they had settled their accounts and had pocketed a rich profit far greater than that of any of their neighbors, they understood that the treasure their father had told them about was the wealth of a bountiful crop, and that in their industry had they found the treasure.Industry is itself a treasure.",Industry is itself a treasure.
The Goose & the Golden Egg,"There was once a Countryman who possessed the most wonderful Goose you can imagine, for every day when he visited the nest, the Goose had laid a beautiful, glittering, golden egg.The Countryman took the eggs to market and soon began to get rich. But it was not long before he grew impatient with the Goose because she gave him only a single golden egg a day. He was not getting rich fast enough.Then one day, after he had finished counting his money, the idea came to him that he could get all the golden eggs at once by killing the Goose and cutting it open. But when the deed was done, not a single golden egg did he find, and his precious Goose was dead.Those who have plenty want more and so lose all they have.",Those who have plenty want more and so lose all they have.
The Fighting Bulls and the Frog,"Two Bulls were fighting furiously in a field, at one side of which was a marsh. An old Frog living in the marsh, trembled as he watched the fierce battle.""What are you afraid of?"" asked a young Frog.""Do you not see,"" replied the old Frog, ""that the Bull who is beaten, will be driven away from the good forage up there to the reeds of this marsh, and we shall all be trampled into the mud?""It turned out as the Frog had said. The beaten Bull was driven to the marsh, where his great hoofs crushed the Frogs to death.When the great fall out, the weak must suffer for it..","When the great fall out, the weak must suffer for it.."
The Farmer & the Cranes,"Some Cranes saw a farmer plowing a large field. When the work of plowing was done, they patiently watched him sow the seed. It was their feast, they thought.So, as soon as the Farmer had finished planting and had gone home, down they flew to the field, and began to eat as fast as they could.The Farmer, of course, knew the Cranes and their ways. He had had experience with such birds before. He soon returned to the field with a sling. But he did not bring any stones with him. He expected to scare the Cranes just by swinging the sling in the air, and shouting loudly at them.At first the Cranes flew away in great terror. But they soon began to see that none of them ever got hurt. They did not even hear the noise of stones whizzing through the air, and as for words, they would kill nobody. At last they paid no attention whatever to the Farmer.The Farmer saw that he would have to take other measures. He wanted to save at least some of his grain. So he loaded his sling with stones and killed several of the Cranes. This had the effect the Farmer wanted, for from that day the Cranes visited his field no more.Bluff and threatening words are of little value with rascals.
","Bluff and threatening words are of little value with rascals.
"
The Two Pots,"Two Pots, one of brass and the other of clay, stood together on the hearthstone. One day the Brass Pot proposed to the Earthen Pot that they go out into the world together. But the Earthen Pot excused himself, saying that it would be wiser for him to stay in the corner by the fire.""It would take so little to break me,"" he said. ""You know how fragile I am. The least shock is sure to shatter me!""""Don't let that keep you at home,"" urged the Brass Pot. ""I shall take very good care of you. If we should happen to meet anything hard I will step between and save you.""So the Earthen Pot at last consented, and the two set out side by side, jolting along on three stubby legs first to this side, then to that, and bumping into each other at every step.The Earthen Pot could not survive that sort of companionship very long. They had not gone ten paces before the Earthen Pot cracked, and at the next jolt he flew into a thousand pieces.Equals make the best friends.",Equals make the best friends.
The Sick Stag,"A Stag had fallen sick. He had just strength enough to gather some food and find a quiet clearing in the woods, where he lay down to wait until his strength should return. The Animals heard about the Stag's illness and came to ask after his health. Of course, they were all hungry, and helped themselves freely to the Stag's food; and as you would expect, the Stag soon starved to death.Good will is worth nothing unless it is accompanied by good acts.",Good will is worth nothing unless it is accompanied by good acts.
The Mouse & the Weasel,"A little hungry Mouse found his way one day into a basket of corn. He had to squeeze himself a good deal to get through the narrow opening between the strips of the basket. But the corn was tempting and the Mouse was determined to get in. When at last he had succeeded, he gorged himself to bursting. Indeed he he became about three times as big around the middle as he was when he went in.At last he felt satisfied and dragged himself to the opening to get out again. But the best he could do was to get his head out. So there he sat groaning and moaning, both from the discomfort inside him and his anxiety to escape from the basket.Just then a Weasel came by. He understood the situation quickly.""My friend,"" he said, ""I know what you've been doing. You've been stuffing. That's what you get. You will have to stay there till you feel just like you did when you went in. Good night, and good enough for you.""And that was all the sympathy the poor Mouse got.Greediness leads to misfortune.",Greediness leads to misfortune.
The Farmer & the Snake,"A Farmer walked through his field one cold winter morning. On the ground lay a Snake, stiff and frozen with the cold. The Farmer knew how deadly the Snake could be, and yet he picked it up and put it in his bosom to warm it back to life.The Snake soon revived, and when it had enough strength, bit the man who had been so kind to it. The bite was deadly and the Farmer felt that he must die. As he drew his last breath, he said to those standing around:Learn from my fate not to take pity on a scoundrel.",Learn from my fate not to take pity on a scoundrel.
The Goatherd & the Wild Goats,"One cold stormy day a Goatherd drove his Goats for shelter into a cave, where a number of Wild Goats had also found their way. The Shepherd wanted to make the Wild Goats part of his flock; so he fed them well. But to his own flock, he gave only just enough food to keep them alive. When the weather cleared, and the Shepherd led the Goats out to feed, the Wild Goats scampered off to the hills.""Is that the thanks I get for feeding you and treating you so well?"" complained the Shepherd.""Do not expect us to join your flock,"" replied one of the Wild Goats. ""We know how you would treat us later on, if some strangers should come as we did.""It is unwise to treat old friends badly for the sake of new ones.",It is unwise to treat old friends badly for the sake of new ones.
The Spendthrift & the Swallow,"A young fellow, who was very popular among his boon companions as a good spender, quickly wasted his fortune trying to live up to his reputation. Then one fine day in early spring he found himself with not a penny left, and no property save the clothes he wore.He was to meet some jolly young men that morning, and he was at his wits' end how to get enough money to keep up appearances. Just then a Swallow flew by, twittering merrily, and the young man, thinking summer had come, hastened off to a clothes dealer, to whom he sold all the clothes he wore down to his very tunic.A few days later a change in weather brought a severe frost; and the poor swallow and that foolish young man in his light tunic, and with his arms and knees bare, could scarcely keep life in their shivering bodies.One swallow does not make a summer.",One swallow does not make a summer.
The Cat & the Birds,"A Cat was growing very thin. As you have guessed, he did not get enough to eat. One day he heard that some Birds in the neighborhood were ailing and needed a doctor. So he put on a pair of spectacles, and with a leather box in his hand, knocked at the door of the Bird's home.The Birds peeped out, and Dr. Cat, with much solicitude, asked how they were. He would be very happy to give them some medicine.""Tweet, tweet,"" laughed the Birds. ""Very smart, aren't you? We are very well, thank you, and more so, if you only keep away from here.""Be wise and shun the quack.",Be wise and shun the quack.
Three Bullocks & a lion,"A Lion had been watching three Bullocks feeding in an open field. He had tried to attack them several times, but they had kept together, and helped each other to drive him off. The Lion had little hope of eating them, for he was no match for three strong Bullocks with their sharp horns and hoofs. But he could not keep away from that field, for it is hard to resist watching a good meal, even when there is little chance of getting it.Then one day the Bullocks had a quarrel, and when the hungry Lion came to look at them and lick his chops as he was accustomed to do, he found them in separate corners of the field, as far away from one another as they could get.It was now an easy matter for the Lion to attack them one at a time, and this he proceeded to do with the greatest satisfaction and relish.In unity is strength.",In unity is strength.
The Astrologer,"A man who lived a long time ago believed that he could read the future in the stars. He called himself an Astrologer, and spent his time at night gazing at the sky.One evening he was walking along the open road outside the village. His eyes were fixed on the stars. He thought he saw there that the end of the world was at hand, when all at once, down he went into a hole full of mud and water.There he stood up to his ears, in the muddy water, and madly clawing at the slippery sides of the hole in his effort to climb out.His cries for help soon brought the villagers running. As they pulled him out of the mud, one of them said:""You pretend to read the future in the stars, and yet you fail to see what is at your feet! This may teach you to pay more attention to what is right in front of you, and let the future take care of itself.""""What use is it,"" said another, ""to read the stars, when you can't see what's right here on the earth?""Take care of the little things and the big things will take care of themselves.",Take care of the little things and the big things will take care of themselves.
Mercury & the Woodman,"A poor Woodman was cutting down a tree near the edge of a deep pool in the forest. It was late in the day and the Woodman was tired. He had been working since sunrise and his strokes were not so sure as they had been early that morning. Thus it happened that the axe slipped and flew out of his hands into the pool.The Woodman was in despair. The axe was all he possessed with which to make a living, and he had not money enough to buy a new one. As he stood wringing his hands and weeping, the god Mercury suddenly appeared and asked what the trouble was. The Woodman told what had happened, and straightway the kind Mercury dived into the pool. When he came up again he held a wonderful golden axe.""Is this your axe?"" Mercury asked the Woodman.""No,"" answered the honest Woodman, ""that is not my axe.""Mercury laid the golden axe on the bank and sprang back into the pool. This time he brought up an axe of silver, but the Woodman declared again that his axe was just an ordinary one with a wooden handle.Mercury dived down for the third time, and when he came up again he had the very axe that had been lost.The poor Woodman was very glad that his axe had been found and could not thank the kind god enough. Mercury was greatly pleased with the Woodman's honesty.""I admire your honesty,"" he said, ""and as a reward you may have all three axes, the gold and the silver as well as your own.""The happy Woodman returned to his home with his treasures, and soon the story of his good fortune was known to everybody in the village. Now there were several Woodmen in the village who believed that they could easily win the same good fortune. They hurried out into the woods, one here, one there, and hiding their axes in the bushes, pretended they had lost them. Then they wept and wailed and called on Mercury to help them.And indeed, Mercury did appear, first to this one, then to that. To each one he showed an axe of gold, and each one eagerly claimed it to be the one he had lost. But Mercury did not give them the golden axe. Oh no! Instead he gave them each a hard whack over the head with it and sent them home. And when they returned next day to look for their own axes, they were nowhere to be found.Honesty is the best policy.",Honesty is the best policy.
The Dog & the Oyster,"There was once a Dog who was very fond of eggs. He visited the hen house very often and at last got so greedy that he would swallow the eggs whole.One day the Dog wandered down to the seashore. There he spied an Oyster. In a twinkling the Oyster was resting in the Dog's stomach, shell and all.It pained the Dog a good deal, as you can guess.""I've learned that all round things are not eggs,"" he said groaning.Act in haste and repent at leisure—and often in pain.",Act in haste and repent at leisure—and often in pain.
The Fox & the Crab,"A Crab one day grew disgusted with the sands in which he lived. He decided to take a stroll to the meadow not far inland. There he would find better fare than briny water and sand mites. So off he crawled to the meadow. But there a hungry Fox spied him, and in a twinkling, ate him up, both shell and claw.Be content with your lot.",Be content with your lot.
The Bull & the Goat,"A Bull once escaped from a Lion by entering a cave which the Goatherds used to house their flocks in stormy weather and at night. It happened that one of the Goats had been left behind, and the Bull had no sooner got inside than this Goat lowered his head and made a rush at him, butting him with his horns. As the Lion was still prowling outside the entrance to the cave, the Bull had to submit to the insult.""Do not think,"" he said, ""that I submit to your cowardly treatment because I am afraid of you. When that Lion leaves, I'll teach you a lesson you won't forget.""It is wicked to take advantage of another's distress.",It is wicked to take advantage of another's distress.
The Serpent & the Eagle,"A Serpent had succeeded in surprising an Eagle and had wrapped himself around the Eagle's neck. The Eagle could not reach the Serpent, neither with beak nor claws. Far into the sky he soared trying to shake off his enemy. But the Serpent's hold only tightened, and slowly the Eagle sank back to earth, gasping for breath.A Countryman chanced to see the unequal combat. In pity for the noble Eagle he rushed up and soon had loosened the coiling Serpent and freed the Eagle.The Serpent was furious. He had no chance to bite the watchful Countryman. Instead he struck at the drinking horn, hanging at the Countryman's belt, and into it let fly the poison of his fangs.The Countryman now went on toward home. Becoming thirsty on the way, he filled his horn at a spring, and was about to drink. There was a sudden rush of great wings. Sweeping down, the Eagle seized the poisoned horn from out his savior's hands, and flew away with it to hide it where it could never be found.An act of kindness is well repaid.",An act of kindness is well repaid.
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
